,id,title,url,date,content,cleaned_content,sentence_count,neg,neu,pos,compound,Rank,tokenized,0,1,2,3,4,topic_id,topic_txt,topics,title,id,len,x,y
0,1,Building a Robust Virtual Agent (VA) Rollout Strategy for DSPs,https://cloudtweaks.com/2020/05/building-robust-virtual-agent/,2020-05-19,"This article describes in detail about building a robust VA roll-out strategy for DSPs. It provides the top 10 considerations that can help DSPs containing their customers within VA interaction and increase overall customer satisfaction.   Matt Holleran   Mary Stanhope   Mike Johnson   Steve Prentice   Mark Banfield   Lauren Brunson   Kevin Julian   Sekhar Sarukkai   Patrick Joggerst  The virtual agent’s market is at an all-time high and is garnering more and more interest with each passing day. It is establishing itself as “the must-have” solution for digital service providers (DSPs) seeking to improve customer experience, reduce call center costs, and optimize time to serve. But are these virtual agents living up to the hype they are creating? Gartner has placed them in “trough of disillusionment” in its hype cycle. Deployment of VAs are not done in a proper way, which is the primary reason for this situation. As a result, they don’t reach the required confidence levels and are not able to capture the right customer intent.",this article describes in detail about building a robust va rollout strategy for dsps. it provides the top  considerations that can help dsps containing theircustomers within va interaction and increase overall customer satisfaction.   matt holleran   mary stanhope   mike johnson   steve prentice   mark banfield   lauren brunson   kevin julian   sekhar sarukkai   patrick joggerst  the virtual agents market is at an alltime high and is garnering more and more interest with each passing day. it is establishing itself as the musthave solution for digital service providers dsps seeking to improve customer experience reduce call center costs and optimize time to serve. but are these virtual agents living up to the hype they are creating gartner has placed themintrough of disillusionment in itshypecycle.deployment of vas are not done in a proper way which is the primary reason for this situation. as a result they dont reach the required confidence levels and are not able to capture the right customer intent.,8,0.028,0.831,0.141,0.9339,22.743432998657227,"['describ', 'detail', 'build', 'robust', 'rollout', 'strategi', 'dsps', 'provid', 'top', 'consider', 'help', 'dsps', 'contain', 'theircustom', 'within', 'interact', 'increas', 'overal', 'custom', 'satisfact', 'matt', 'holleran', 'mari', 'stanhop', 'mike', 'johnson', 'steve', 'prentic', 'mark', 'banfield', 'lauren', 'brunson', 'kevin', 'julian', 'sekhar', 'sarukkai', 'patrick', 'joggerst', 'virtual', 'agent', 'market', 'alltim', 'high', 'garner', 'interest', 'pas', 'day', 'establish', 'musthav', 'solut', 'digit', 'servic', 'provid', 'dsps', 'seek', 'improv', 'custom', 'experi', 'reduc', 'call', 'center', 'cost', 'optim', 'time', 'serv', 'virtual', 'agent', 'live', 'hype', 'creat', 'gartner', 'place', 'themintrough', 'disillusion', 'itshypecycl', 'deploy', 'va', 'done', 'proper', 'way', 'primari', 'reason', 'situat', 'result', 'reach', 'requir', 'confid', 'level', 'abl', 'captur', 'right', 'custom', 'intent']",0.0,0.0,0.9985398650169373,0.0,0.0,2,data; cloud; lake; team; amazon; need; work; busi; time; data_lake,Topic: 2,Building a Robust Virtual Agent (VA) Rollout Strategy for DSPs,1,62,10.0484495,1.6253054
1,2,Building a Robust Virtual Agent (VA) Rollout Strategy for DSPs,https://cloudtweaks.com/2020/05/building-robust-virtual-agent/,2020-05-19,"Chat interface with UI components that are functionally and visually appealing enable and enhance the conversation flow between VA and users.  The inbound calls that DSP’s call center receives are categorized as customer service inquiries, technical troubleshooting, or sales based. The use case that these calls invoke can be any one of the following flows: Self-Service, Data-Driven, or Transactional Flows. Understanding the complexity of intent is crucial for programming or training the VA. The complexity of intent can be assessed by length of the conversation, the average time taken by an agent to complete the conversation, and the hierarchy of intents &amp; sub intents. Develop a machine learning-based ‘intent analyzer tool’ shown as below:   Kickoff roll-out with high-volume and simple intents for quick ROI. From the clusters identified, representative examples are taken for training the NLU, which doesn’t cover the entire scope of that intent. Take examples from the cluster based on the following criteria to holistically account all the variations of intent across the spectrum. This improves containment by increasing precision and recall. The routing guide is the first set of navigational options that VA presents to the customer on the invocation. Customers may not always know where to find the information they are interested in. Through a series of qualifying questions, users are routed to the appropriate location.",chat interface with ui components thatarefunctionally and visually appealingenableand enhance the conversation flow between va and users.  the inbound calls that dsps call center receives are categorized as customer service inquiries technical troubleshooting or sales based. the use case that these calls invoke can be any one of the following flows selfservice datadriven or transactional flows. understanding the complexity of intent is crucial for programming or training the va. the complexity of intent can be assessed by length of the conversation the average timetaken by an agent to complete the conversation and the hierarchy of intents amp sub intents. develop a machine learningbased intent analyzer tool shown as below  kickoff rollout with highvolume and simple intents for quick roi. from the clusters identified representative examples are taken for training the nlu which doesnt cover the entire scope of that intent. take examples from the cluster based on the following criteria to holistically account all the variations of intent across the spectrum. this improves containment by increasing precision and recall. the routing guide is the first set of navigational options that va presents to the customer on the invocation. customers may not always know where to find the information they are interested in. through a series of qualifying questions users are routed to the appropriate location.,12,0.0,0.965,0.035,0.7684,21.008405685424805,"['chat', 'interfac', 'compon', 'thatarefunct', 'visual', 'appealingenableand', 'enhanc', 'convers', 'flow', 'user', 'inbound', 'call', 'dsps', 'call', 'center', 'receiv', 'categor', 'custom', 'servic', 'inquiri', 'technic', 'troubleshoot', 'sale', 'base', 'case', 'call', 'invok', 'follow', 'flow', 'selfservic', 'datadriven', 'transact', 'flow', 'understand', 'complex', 'intent', 'crucial', 'program', 'train', 'complex', 'intent', 'ass', 'length', 'convers', 'averag', 'timetaken', 'agent', 'complet', 'convers', 'hierarchi', 'intent', 'amp', 'sub', 'intent', 'develop', 'machin', 'learningbas', 'intent', 'analyz', 'tool', 'shown', 'kickoff', 'rollout', 'highvolum', 'simpl', 'intent', 'quick', 'roi', 'cluster', 'identifi', 'repres', 'exampl', 'taken', 'train', 'nlu', 'doesnt', 'cover', 'entir', 'scope', 'intent', 'take', 'exampl', 'cluster', 'base', 'follow', 'criterion', 'holist', 'account', 'variat', 'intent', 'across', 'spectrum', 'improv', 'contain', 'increas', 'precis', 'recal', 'rout', 'guid', 'first', 'set', 'navig', 'option', 'present', 'custom', 'invoc', 'custom', 'may', 'alway', 'know', 'find', 'inform', 'interest', 'seri', 'qualifi', 'question', 'user', 'rout', 'appropri', 'locat']",0.0,0.1879398673772812,0.6061168313026428,0.07648930698633194,0.12932297587394714,2,data; cloud; lake; team; amazon; need; work; busi; time; data_lake,Topic: 2,Building a Robust Virtual Agent (VA) Rollout Strategy for DSPs,2,62,8.233422,11.030457
2,3,Building a Robust Virtual Agent (VA) Rollout Strategy for DSPs,https://cloudtweaks.com/2020/05/building-robust-virtual-agent/,2020-05-19,"To follow the Agent-Driven roll-out method where the live agent can observe and alter if needed, the responses coming from NLU. Eventually, this should advance to a stage where the agent is observing multiple chats and intervening only in the cases of escalation.  A mechanism should be in place to continuously monitor and improve NLU performance even before it’s rolled out. Manually performing this task is not enough. Develop a “conversation rating engine” to perform programmatic reviews on a high volume of VA chats in real-time and also re-train the model as shown below  Conversation rating engine can improve NLU intent classification confidence by 2-4% weekly, review 200K chats per day and score the chats on the scale of 1-10 (1- worst, 10 – best) It is crucial to decide the proportion of customer chat traffic that would be diverted to the VA while rolling out. In the early stages of the roll-out, the VA containment will remain low. i.e., most of the conversations will be diverted to live agents by VA. It is necessary to provide enough training time to expose NLU to highly varied human conversations. It is rare to see single-digit containment efficiency in the first few weeks of VA roll-out. In the conventional rollout approach, right after the training VA is deployed directly to face customer questions. This will have a high error-rate. Hence, it is recommended to perform an agent-driven rollout.",to followthe agentdriven rollout method where the live agent can observe and alter if needed the responses coming from nlu. eventually this should advance to a stage where the agent is observing multiple chats and intervening only in the cases of escalation.  a mechanism should be in place to continuously monitor and improve nlu performance even before its rolled out. manually performing this task is not enough. develop a conversation rating engineto perform programmatic reviews on a high volume of va chats in realtime and also retrain the model as shown below  conversation rating engine can improve nlu intent classification confidence by  weekly review k chats per day and score the chats on the scale of   worst   best it is crucial to decide the proportion of customer chat traffic that would be diverted to the va while rolling out. in the early stages of the rollout the va containment will remain low.i.e. most of the conversations will be diverted to live agentsby va. it is necessary to provide enough training time to expose nlu to highly varied human conversations. it is rare to see singledigit containment efficiency in the first few weeks of va rollout. in the conventional rollout approach right after the training va is deployed directly to face customer questions. this will have a high errorrate. hence it is recommended to perform an agentdriven rollout.,12,0.024,0.901,0.074,0.8979,22.77842903137207,"['followth', 'agentdriven', 'rollout', 'method', 'live', 'agent', 'observ', 'alter', 'need', 'respons', 'come', 'nlu', 'eventu', 'advanc', 'stage', 'agent', 'observ', 'multipl', 'chat', 'interven', 'case', 'escal', 'mechan', 'place', 'continu', 'monitor', 'improv', 'nlu', 'perform', 'even', 'roll', 'manual', 'perform', 'task', 'enough', 'develop', 'convers', 'rate', 'engineto', 'perform', 'programmat', 'review', 'high', 'volum', 'chat', 'realtim', 'retrain', 'model', 'shown', 'convers', 'rate', 'engin', 'improv', 'nlu', 'intent', 'classif', 'confid', 'week', 'review', 'chat', 'per', 'day', 'score', 'chat', 'scale', 'worst', 'best', 'crucial', 'decid', 'proport', 'custom', 'chat', 'traffic', 'divert', 'roll', 'earli', 'stage', 'rollout', 'contain', 'remain', 'low', 'convers', 'divert', 'live', 'agentsbi', 'necessari', 'provid', 'enough', 'train', 'time', 'expo', 'nlu', 'high', 'vari', 'human', 'convers', 'rare', 'see', 'singledigit', 'contain', 'effici', 'first', 'week', 'rollout', 'convent', 'rollout', 'approach', 'right', 'train', 'deploy', 'direct', 'face', 'custom', 'question', 'high', 'errorr', 'henc', 'recommend', 'perform', 'agentdriven', 'rollout']",0.41259124875068665,0.0,0.500312328338623,0.08660931140184402,0.0,2,data; cloud; lake; team; amazon; need; work; busi; time; data_lake,Topic: 2,Building a Robust Virtual Agent (VA) Rollout Strategy for DSPs,3,62,15.495801,5.739891
3,4,"Introducing, lower, simpler pricing for Cloud CDN | Google Cloud Blog",https://cloud.google.com/blog/products/networking/introducing-lower-simpler-pricing-for-cloud-cdn,2020-10-14,"First, we’re reducing the price of cache fill (content fetched from your origin) charges across the board, by up to 80%. You still get the benefit of our global private backbone for cache fill though—ensuring continued high performance, at a reduced cost. We’ve also removed cache-to-cache fill charges and cache invalidation charges for all customers going forward.   Networking Start building on Google Cloud with $300 in free credits and 20+ always free products. Organizations all over the world rely on Cloud CDN for fast, reliable web and video content delivery. Now, we’re making it even easier for you to take advantage of our global network and cache infrastructure by reducing the cost of Cloud CDN for your content delivery going forward.",first were reducing the price of cache fill content fetched from your origin charges across the board by up to . you still get the benefit of our global private backbone for cache fill thoughensuring continued high performance at a reduced cost. weve also removed cachetocache fill charges and cache invalidation charges for all customers going forward.   networking start building on google cloud with  in free credits and  always free products. organizations all over the world rely on cloud cdn for fast reliable web and video content delivery. now were making it even easier for you to take advantage of our global network and cache infrastructure by reducing the cost of cloud cdn for your content delivery going forward.,6,0.048,0.823,0.129,0.891,24.08231544494629,"['first', 'reduc', 'price', 'cach', 'fill', 'content', 'fetch', 'origin', 'charg', 'across', 'board', 'still', 'benefit', 'global', 'privat', 'backbon', 'cach', 'fill', 'thoughensur', 'continu', 'high', 'perform', 'reduc', 'cost', 'weve', 'remov', 'cachetocach', 'fill', 'charg', 'cach', 'invalid', 'charg', 'custom', 'forward', 'network', 'start', 'build', 'googl', 'cloud', 'free', 'credit', 'alway', 'free', 'product', 'organ', 'world', 'reli', 'cloud', 'cdn', 'fast', 'reliabl', 'web', 'video', 'content', 'deliveri', 'make', 'even', 'easier', 'take', 'advantag', 'global', 'network', 'cach', 'infrastructur', 'reduc', 'cost', 'cloud', 'cdn', 'content', 'deliveri', 'forward']",0.0,0.0,0.9084166884422302,0.0905621126294136,0.0,2,data; cloud; lake; team; amazon; need; work; busi; time; data_lake,Topic: 2,"Introducing, lower, simpler pricing for Cloud CDN | Google Cloud Blog",4,69,14.330479,9.482461
4,5,"Introducing, lower, simpler pricing for Cloud CDN | Google Cloud Blog",https://cloud.google.com/blog/products/networking/introducing-lower-simpler-pricing-for-cloud-cdn,2020-10-14," Follow Us   This price reduction, along with our recent introduction of a new set of flexible caching capabilities, makes it even easier to use Cloud CDN to optimize the performance of your applications. Cloud CDN can now automatically cache web assets, video content or software downloads, control exactly how they should be cached, and directly set response headers to help meet web security best practices. You can review our updated pricing in our public documentation, and customers egressing over 1PB per month should reach out to our sales team to discuss commitment-based discounts as part of your migration to Google Cloud. To read more about Cloud CDN, or begin using it, start here.", follow us   this price reduction along with our recent introduction of a new set of flexible caching capabilities makes it even easier to use cloud cdn to optimize the performance of your applications. cloud cdn can now automatically cache web assets video content or software downloads control exactly how they should be cached and directly set response headers to help meet web security best practices. you can review our updated pricing in our public documentation and customers egressing over pb per month should reach out to our sales team to discuss commitmentbased discounts as part of your migration to google cloud. to read more about cloud cdn or begin using it start here.,4,0.0,0.839,0.161,0.9517,24.186824798583984,"['follow', 'price', 'reduct', 'along', 'recent', 'introduct', 'new', 'set', 'flexibl', 'cach', 'capabl', 'make', 'even', 'easier', 'cloud', 'cdn', 'optim', 'perform', 'applic', 'cloud', 'cdn', 'automat', 'cach', 'web', 'asset', 'video', 'content', 'softwar', 'download', 'control', 'exact', 'cach', 'direct', 'set', 'respons', 'header', 'help', 'meet', 'web', 'secur', 'best', 'practic', 'review', 'updat', 'price', 'public', 'document', 'custom', 'egress', 'per', 'month', 'reach', 'sale', 'team', 'discus', 'commitmentbas', 'discount', 'part', 'migrat', 'googl', 'cloud', 'read', 'cloud', 'cdn', 'begin', 'use', 'start']",0.0,0.0,0.8824849724769592,0.11643492430448532,0.0,2,data; cloud; lake; team; amazon; need; work; busi; time; data_lake,Topic: 2,"Introducing, lower, simpler pricing for Cloud CDN | Google Cloud Blog",5,69,21.64676,10.565814
5,6,"Google Cloud Blog | News, Features and Announcements",https://cloud.google.com/blog/,2020-10-19,Data Analytics   How Google prepares for and protects against the largest volumetric DDoS attacks. AI &amp; Machine Learning,data analytics   how google prepares for and protects against the largest volumetric ddos attacks. ai amp machine learning,2,0.137,0.755,0.108,-0.1531,23.74134063720703,"['data', 'analyt', 'googl', 'prepar', 'protect', 'largest', 'volumetr', 'ddos', 'attack', 'amp', 'machin', 'learn']",0.0,0.0,0.2551097571849823,0.5301133990287781,0.2117215245962143,3,azur; octob; new; custom; api; innov; announc; learn; busi; manag,Topic: 3,"Google Cloud Blog | News, Features and Announcements",6,52,8.297199,18.425446
6,7,"Google Cloud Blog | News, Features and Announcements",https://cloud.google.com/blog/,2020-10-19,AI &amp; Machine Learning  Containers &amp; Kubernetes AI &amp; Machine Learning Inside Google Cloud,ai amp machine learning  containers amp kubernetes ai amp machine learning inside google cloud,1,0.0,1.0,0.0,0.0,22.29592514038086,"['amp', 'machin', 'learn', 'contain', 'amp', 'kubernet', 'amp', 'machin', 'learn', 'insid', 'googl', 'cloud']",0.0,0.0,0.33183804154396057,0.33629873394966125,0.3293435871601105,3,azur; octob; new; custom; api; innov; announc; learn; busi; manag,Topic: 3,"Google Cloud Blog | News, Features and Announcements",7,52,8.655089,16.81105
7,8," The Diversity Blog – SaaS, Cloud & Business Strategy",https://www.diversity.net.nz/,2020-10-13,"September 29, 2020  October 13, 2020 Three years ago I headed off to Tāupo with some of my oldest friends to race the 2017 edition of the Taupo ultra 100km. I’d previously raced the inaugural event in 2016 which doubled as my first stab at… Read more  October 12, 2020 I’ve spent the last 15 years or so jetting around the world talking to folks about the minutiae of IT and generally having opinions, it’s been a fun time and, if only to appease my guilt about my carbon… Read more  October 6, 2020 My old neighbour has a dilapidated tractor shed which is a bit of a disaster most of the time but a treasure trove some of the time. Anytime I had something broken at home I could pop over to… Read more ",september    october   three years ago i headed off to tupo with some of my oldest friends to race the  edition of the taupo ultra km. id previously raced the inaugural event in  which doubled as my first stab at read more  october   ive spent the last  years or so jetting around the world talking to folks about the minutiae of it and generally having opinions its been a fun time and if only to appease my guilt about my carbon read more  october   my old neighbour has a dilapidated tractor shed which is a bit of a disaster most of the time but a treasure trove some of the time. anytime i had something broken at home i could pop over to read more ,3,0.084,0.849,0.067,-0.4767,24.75969696044922,"['septemb', 'octob', 'three', 'year', 'ago', 'head', 'tupo', 'oldest', 'friend', 'race', 'edit', 'taupo', 'ultra', 'previous', 'race', 'inaugur', 'event', 'doubl', 'first', 'stab', 'read', 'octob', 'ive', 'spent', 'last', 'year', 'jet', 'around', 'world', 'talk', 'folk', 'minutia', 'general', 'opinion', 'fun', 'time', 'appeas', 'guilt', 'carbon', 'read', 'octob', 'old', 'neighbour', 'dilapid', 'tractor', 'shed', 'bit', 'disast', 'time', 'treasur', 'trove', 'time', 'anytim', 'someth', 'broken', 'home', 'could', 'pop', 'read']",0.0,0.177483469247818,0.44179561734199524,0.1950172483921051,0.18544615805149078,2,data; cloud; lake; team; amazon; need; work; busi; time; data_lake,Topic: 2," The Diversity Blog – SaaS, Cloud & Business Strategy",8,53,8.91527,12.468617
8,9," The Diversity Blog – SaaS, Cloud & Business Strategy",https://www.diversity.net.nz/,2020-10-13,"Read more   Back in 1989 the movie Field of Dream came out. It wasn’t a particularly good movie, so, if you haven’t seen it, I’ll spare you the effort and give you a synopsis: An Iowa corn farmer, hearing voices, interprets… Read more  September 21, 2020 When I was a lad, Dallas. the long-running TV drama, was in its prime. For those youngsters who aren’t aware of the show, it ran for well over a decade and centred around the Ewings, a wealthy Texas oil… Read more  September 11, 2020 I’m a little bit obsessive-compulsive when it comes to my wardrobe. I struggle with choice and prefer to pare down my options as much as possible. My general rule of thumb is that when I acquire a piece of…",read more   back in  the movie field of dream came out. it wasnt a particularly good movie so if you havent seen it ill spare you the effort and give you a synopsis an iowa corn farmer hearing voices interprets read more  september   when i was a lad dallas. the longrunning tv drama was in its prime. for those youngsters who arent aware of the show it ran for well over a decade and centred around the ewings a wealthy texas oil read more  september   im a little bit obsessivecompulsive when it comes to my wardrobe. i struggle with choice and prefer to pare down my options as much as possible. my general rule of thumb is that when i acquire a piece of,6,0.04,0.886,0.073,0.4605,24.300527572631836,"['read', 'back', 'movi', 'field', 'dream', 'came', 'wasnt', 'particular', 'good', 'movi', 'havent', 'seen', 'ill', 'spare', 'effort', 'give', 'synopsi', 'iowa', 'corn', 'farmer', 'hear', 'voic', 'interpret', 'read', 'septemb', 'lad', 'dalla', 'longrun', 'drama', 'prime', 'youngster', 'arent', 'awar', 'show', 'ran', 'well', 'decad', 'centr', 'around', 'ewe', 'wealthi', 'texa', 'oil', 'read', 'septemb', 'littl', 'bit', 'obsessivecompuls', 'come', 'wardrob', 'struggl', 'choic', 'prefer', 'pare', 'option', 'much', 'possibl', 'general', 'rule', 'thumb', 'acquir', 'piec']",0.0,0.12774558365345,0.0,0.0,0.8701091408729553,4,user; cluster; standard; redi; group; select; architectur; control; access; new,Topic: 4," The Diversity Blog – SaaS, Cloud & Business Strategy",9,53,14.779714,14.121886
9,10," The Diversity Blog – SaaS, Cloud & Business Strategy",https://www.diversity.net.nz/,2020-10-13,"Read more   August 31, 2020 Like so many people of my generation, I grew up learning all the most important life lessons from that exemplar of personal values, Dr Suess. From environmentalism fueled by The Lorax, to a more realistic reflection on consumerism courtesy… Read more  August 20, 2020 I’m a big fan of pithy quotes and have been known to lace several together in one sentence. Human beings are funny creatures and the fact is that we are drawn to short statements that sum up a point… Read more  August 14, 2020 Like so many New Zealanders of a certain age, I went to Scouts as a child and still proudly wear my Queen Scout Award each ANZAC day. The Scout movement, despite the obvious bad press it has received for…",read more   august   like so many people of my generation i grew up learning all the most important life lessons from that exemplar of personal values dr suess. from environmentalism fueled by the lorax to a more realistic reflection on consumerism courtesy read more  august   im a big fan of pithy quotes and have been known to lace several together in one sentence. human beings are funny creatures and the fact is that we are drawn to short statements that sum up a point read more  august   like so many new zealanders of a certain age i went to scouts as a child and still proudly wear my queen scout award each anzac day. the scout movement despite the obvious bad press it has received for,4,0.0,0.773,0.227,0.9806,24.363418579101562,"['read', 'august', 'mani', 'peopl', 'generat', 'grew', 'learn', 'import', 'life', 'lesson', 'exemplar', 'person', 'valu', 'sue', 'environment', 'fuel', 'lorax', 'realist', 'reflect', 'consumer', 'courtesi', 'read', 'august', 'big', 'fan', 'pithi', 'quot', 'known', 'lace', 'sever', 'togeth', 'sentenc', 'human', 'funni', 'creatur', 'fact', 'drawn', 'short', 'statement', 'sum', 'point', 'read', 'august', 'mani', 'new', 'zealand', 'certain', 'age', 'went', 'scout', 'child', 'still', 'proud', 'wear', 'queen', 'scout', 'award', 'anzac', 'day', 'scout', 'movement', 'despit', 'obvious', 'bad', 'press', 'receiv']",0.0,0.1573536992073059,0.30043965578079224,0.5414925813674927,0.0,3,azur; octob; new; custom; api; innov; announc; learn; busi; manag,Topic: 3," The Diversity Blog – SaaS, Cloud & Business Strategy",10,53,7.574181,19.280025
